Члены моей семьи и мои близкие родственники ладят друг с другом.;92;0;0;1;0;0;0;0;0;0
Я почти всегда ощущаю сухость во рту.;93;1;0;1;0;90;1;0;1;0
Большую часть времени я чувствую себя усталым.;94;1;0;0;0;91;1;0;0;0
Иногда я чувствую, что близок к нервному срыву.;95;1;0;0;0;92;1;0;0;0
Меня очень раздражает, что я забываю, куда кладу вещи.;96;1;0;0;0;93;1;0;0;0
Если я хочу что-то сделать, но окружающие считают, что этого делать не стоит, я готов отказаться от своих намерений.;97;0;0;1;0;0;0;0;0;0
Я легко просыпаюсь от шума.;0;0;0;0;0;3;0;0;0;1
Обычно мои руки и ноги достаточно теплые.;0;0;0;0;0;4;0;0;1;0
Временами у меня бывают приступы смеха или плача, с которыми я никак не могу справиться.;0;0;0;0;0;8;0;0;0;1
Два-три раза в неделю по ночам меня мучают кошмары.;0;0;0;0;0;11;0;0;0;1
Я считаю, что большинство людей способно солгать, чтобы продвинуться по службе.;0;0;0;0;0;24;0;0;1;0
Мне кажется, что по сравнению с большинством окружающих я достаточно способная и сообразительная.;0;0;0;0;0;27;0;0;0;1
Мое темя бывает очень чувствительным к прикосновениям.;0;0;0;0;0;33;0;0;0;1
Иногда, когда я смущена, я сильно потею, и это меня раздражает.;0;0;0;0;0;41;0;0;0;1
Я люблю пококетничать с мужчинами.;0;0;0;0;0;44;0;0;0;1
Я очень легко потею даже в прохладные дни.;0;0;0;0;0;53;0;0;0;1
Я спокойно выхожу из дому, не беспокоясь о том, заперла ли я дверь, окна,выключила ли свет и т.п.;0;0;0;0;0;56;0;0;0;1
Меня довольно трудно вывести из себя.;0;0;0;0;0;76;0;0;1;0
Все, что связано с сексом, вызывает у меня отвращение.;0;0;0;0;0;80;0;0;1;0
У меня есть свой особый воображаемый мир, о котором я никому не рассказываю.;0;0;0;0;0;85;0;0;0;1
Люди довольно легко могут изменить мое мнение, даже если до этого оно казалось мне окончательным.;0;0;0;0;0;89;0;0;1;0
